PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO)-E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr, CI-Coef**2 ,NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz,DiradicalCharacter(PUHF),IsOK
69118468,-8.07768,-1.11491,6.96277,5.059,172.41138,1092.2699,72310.50891,2.7481048,6.040688,0.171715,0.006258600952142,0,3,2,0,0,1,0,9,3,9,2,4,0,9,0,6,0,0,4,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.122836,1
6914052,-8.79775,-0.19006,8.60769,0.799,149.69471,1572.8471,75186.98805,5.6490786,11.3453241,0.348211,0.004125057432092,0,6,0,0,0,1,0,7,7,13,1,2,0,13,0,14,0,0,0,0,13,8,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
69165388,-8.64675,-1.55333,7.09342,4.766,208.10552,173.9179,42852.4363,2.7216484,5.3215504,0.141272,0.01032580942368,0,2,1,0,0,0,0,14,3,13,2,1,0,13,0,16,0,0,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.240983,1
69187757,-9.37886,-3.20661,6.17225,4.315,248.28986,651.9743,-81123.08187,2.6739718,4.2529198,1.029819,0.03760287209316,0,1,2,0,0,0,0,7,1,11,1,1,3,8,0,6,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.397557,1
691969,-9.15042,-1.38294,7.76748,4.449,189.57157,11125.14,2402537.58349,4.1106327,16.4277065,0.024597,0,0,1,2,0,0,0,1,8,2,7,4,2,1,5,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69255508,-9.19901,-2.31886,6.88015,7.288,162.00123,613.0853,43748.3644,3.0324071,9.7703276,0.196057,0,0,6,0,0,0,1,0,7,7,13,1,2,0,13,0,14,0,0,0,0,13,8,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
69269,-8.77393,-1.17634,7.59759,6.755,126.82342,579.2384,18266.47609,3.7246529,12.5492121,0.113333,0,2,3,2,0,0,0,0,10,4,15,0,1,2,13,0,14,2,0,4,2,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0
69288401,-6.80513,-0.23232,6.57281,2.883,152.85258,636.1458,28513.73725,3.1342017,5.3319235,0.424866,0.020893945064864,0,3,1,0,0,1,0,9,3,13,1,2,1,12,0,10,1,0,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.11744,1
69298372,-8.53956,-1.44055,7.09901,4.735,206.15588,395.836,57790.6461,3.228573,8.6306956,0.182446,0,0,0,2,0,0,0,0,6,0,9,2,2,1,8,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.003036,0
693180,-9.06102,-1.64746,7.41356,6.01,174.54344,148.5079,43788.58441,3.6271422,7.1753552,0.437097,0.007198424582861,0,1,2,0,0,0,1,7,2,5,2,1,0,5,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69368350,-7.88791,-1.56603,6.32188,1.806,220.30421,2131.9913,52828.29072,2.4891024,6.010958,0.506331,0.011937845934203,0,1,2,1,0,0,0,7,1,12,1,0,3,9,0,8,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
69369032,-7.84972,-1.32139,6.52833,7.142,220.15716,1645.6092,34303.56528,2.2976592,6.0723199,0.544796,0.002080426264656,0,2,3,0,0,0,1,12,2,12,1,2,2,10,0,13,1,0,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
69379700,-9.44365,-0.92458,8.51907,4.531,136.3299,712.8392,36661.39192,4.2264841,7.8246479,0.789026,0.007758010651385,0,5,0,0,0,0,0,7,7,13,1,1,0,13,0,14,0,0,0,0,13,8,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.006661,0
69494906,-7.3306,-0.38533,6.94527,3.341,209.71154,394.2062,44347.30408,3.149581,5.8316635,0.183998,0.008714997322223,0,1,3,0,0,0,0,17,1,19,0,0,1,18,0,16,1,0,7,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0.127994,1
69504683,-9.57286,-2.20783,7.36503,4.231,89.16311,249.0862,9409.58396,3.4115651,9.1359846,0.181379,0.001928984846444,0,1,3,0,0,0,0,13,2,15,0,1,0,15,0,14,0,0,5,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.026395,0
69504,-8.71427,-1.52774,7.18653,3.623,190.18003,128.4617,30143.29899,3.6984436,6.0444294,0.443562,0.017051512472474,1,1,2,0,0,0,1,8,3,10,3,2,3,7,0,9,3,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.146811,1
69535306,-9.64634,-0.42497,9.22137,3.195,151.46211,282.3156,16081.15799,5.097466,9.4619413,0.421953,0.005238587912048,1,1,1,0,0,1,0,7,1,13,1,1,5,8,0,8,2,1,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
69543578,-9.5617,-2.59432,6.96738,4.045,186.39143,399.6899,33082.50822,2.7227393,4.7742035,0.341467,0.015662439901109,0,7,0,0,0,2,0,6,6,9,0,6,0,9,0,12,0,0,0,0,9,4,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.24996,1
