,PubChem ID, E(LUMO/PM6) [eV],n, DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF),OK
35,11126547,-0.05196,4.36973,2.591,141.24644,17976.89497,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3339446,0.028044,0.01713536,0.028504,0
36,111435,-1.90261,4.168345,4.536,161.44089,19943.35831,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.889561,0.001782,0.0,0.001857,0
37,11147991,-1.59508,3.408165,3.823,156.03885,26523.96628,3,0,0,8,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2.4137002,0.182784,0.01850776,0.315883,1
38,11195803,-2.19432,3.35088,4.643,187.43724,82881.73317,0,0,0,3,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.576337,0.117474,0.02374127,0.205665,1
39,11275962,-0.76387,4.31771,4.941,163.06372,17042.58873,3,0,0,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.9436412,0.004997,0.0064976,0.0,0
40,1133517,-0.9986,3.918605,3.387,201.79828,41519.52875,6,0,0,13,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3345673,0.001944,0.0,0.0,0
41,1133520,-0.96042,3.811705,2.54,206.0037,51064.98487,2,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3.3677356,0.003606,0.0,0.0,0
42,11352,-1.13119,3.60297,3.879,178.11646,38648.39746,0,0,0,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5874652,0.159489,0.01142615,0.139248,1
43,11353,-1.11173,3.5042,1.116,179.75249,40818.1792,2,0,0,16,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3.4856072,0.147552,0.010853,0.137527,1
44,11469371,-0.56209,4.39605,3.331,138.32103,10902.98215,2,0,0,16,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2.298281,0.000329,0.0,0.0,0
45,11470450,0.02547,4.50838,1.731,206.48717,25541.77678,2,0,0,8,2,3,2,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4.6928152,0.003787,0.0,0.022335,0
46,114754,-1.28207,3.44417,0.026,194.77859,88562.25403,6,0,0,9,3,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3.2361214,0.359543,0.0,0.0,0
47,115103,-0.8319,4.07724,4.702,172.86848,32208.76351,4,0,0,14,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3.6458484,0.088489,0.0,0.0,0
48,115200,-0.54624,3.969955,3.224,177.33529,35946.1246,4,0,0,10,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,3.7549101,0.12764,0.00814324,0.047017,0
49,11521152,-0.72148,4.34025,5.128,150.61975,22730.6215,3,0,0,8,2,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,4.3324578,0.025286,0.01470044,0.03574,0
50,115222,-0.93794,3.828445,8.643,176.1058,45992.93147,3,0,0,8,2,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3.6105738,0.095224,0.0,0.0,0
51,115372,-1.05618,4.231465,5.613,151.02411,15536.72975,2,0,0,9,3,1,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.7589891,0.000442,0.0,0.026788,0
52,11586510,-1.56455,3.68273,1.159,175.34754,32174.97491,2,0,0,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.607773,0.218016,0.0,0.000534,0
53,116929,-1.79686,3.837485,5.198,125.77943,15485.1345,2,0,0,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9272991,0.001344,0.0,0.0,0
54,1177871,-1.34789,3.795675,3.393,220.79021,32793809.2934,2,0,0,16,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3.476562,0.000971,0.0,0.0,0
55,1177872,-1.32767,3.7807,3.941,228.67183,45481959.25381,2,0,0,6,0,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3.4603981,0.000779,0.0,0.0,0
56,1177873,-1.21979,3.902735,2.895,222.82278,35222172.27712,2,0,0,15,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,3.594652,0.004757,0.0,0.0,0
57,1177875,-1.24334,3.72756,4.479,215.88543,32078314.47462,2,0,0,15,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,3.4938973,0.000796,0.0,0.0,0
58,11798,-1.38528,3.721915,2.215,197.48167,61602.7503,3,0,0,10,1,4,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.9722513,2e-06,0.0,0.0,0
59,11877,-0.74991,4.217545,5.612,122.56472,12710.56118,1,0,0,8,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7898464,0.006386,0.0,0.0,0
60,119308,-0.87395,3.999535,3.082,174.37913,37019.91079,1,0,1,11,1,4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.6075602,0.11933,0.0,0.0,0
61,11966259,-0.8696,3.978615,2.492,168.32403,28180.92367,2,1,0,15,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4.0631517,0.006951,0.01567141,0.075461,1
62,12008984,-0.82297,4.07871,3.272,199.29377,33368.20221,3,0,0,8,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.5491095,0.013141,0.0,0.0,0
63,12008985,-0.95894,4.148195,4.569,199.58198,26736.23594,3,0,0,9,3,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4824138,0.001444,0.0,0.003959,0
64,1204360,-1.18117,3.686045,3.858,189.84099,32353.7527,2,0,0,6,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4.0376772,0.004789,0.0,0.0,0
65,1207367,-1.1459,3.848525,3.504,206.17388,39208.14971,2,0,0,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.8942019,0.002654,0.0,0.000821,0
