,Unnamed: 0,PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.],NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz, S1(CAS2-1+CIS) [eV], S2(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), T1(CAS2-1+CIS) [eV], T2(CAS2-1+CIS) [eV], DiradicalCharacter(PUHF)
25,70,141321,-8.67473,-1.50723,1.085,185.40445,175.551,36138.36519,0,4,0,0,0,3,0,4,4,7,0,4,0,7,0,8,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2.5111601,3.3366461,2e-06,0.001751512897166,1.01954409999962,2.43098229999962,0.265143
26,72,142316,-8.60751,-0.69043,1.883,188.4757,253.5121,15885.63613,2,3,0,0,0,0,0,3,3,15,0,1,6,9,0,6,0,2,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.3813736,2.5031633,0.057734,0.006897639687121,0.892437699999846,1.35761989999985,0.217233
27,73,143380,-8.60462,-0.74101,1.092,144.52515,15.2108,8615.78919,0,1,4,0,0,0,0,9,3,12,1,4,4,8,0,8,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2.1088484,2.9038248,0.005644,0.019179585352544,0.37243669999998,1.57902499999998,0.129682
28,74,143466,-7.8642,-1.15016,1.586,209.06955,156.2073,22576.61495,0,0,0,0,0,0,0,20,0,16,0,1,0,16,0,17,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3.1991447,3.6956395,0.215323,0.00249240777296,1.38814860000002,2.79117680000002,0.205161
29,75,143532,-8.08762,-0.13272,1.244,200.8229,79.0304,14835.34827,0,0,0,0,0,0,0,16,0,13,0,0,0,13,0,14,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2.1442674,2.1842153,0.013961,0.009352584260738,0.426540100000238,0.438717600000239,0.150867
30,77,145625,-8.54552,-0.47642,1.19,123.26438,34.851,5903.35217,0,5,0,1,0,1,0,4,4,11,1,3,5,6,0,8,0,0,0,0,6,2,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.9434643,4.3122004,0.268932,0.034254225136261,1.24630769999999,2.69915729999999,0.155504
31,78,146268,-9.03127,-1.6379,7.386,194.56554,3505.5555,417850.96642,0,4,0,1,0,1,0,4,4,10,1,3,4,6,0,8,0,0,0,0,6,3,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.8993631,3.2072196,0.570098,0.0,1.36615610000035,1.96553930000035,0.089043
32,79,146301,-8.12815,-1.2941,0.003,188.77669,0.6093,50679.06534,0,0,0,0,1,0,0,20,0,17,1,0,1,16,0,17,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3.2186257,3.3090476,0.110618,0.011860682373698,1.72177519999968,2.32774219999968,0.160558
33,81,146491,-8.0564,-1.209,2.395,148.88745,511.3143,22968.12992,0,6,0,0,0,0,0,5,5,18,0,0,4,14,0,10,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5578509,3.6067857,0.231486,0.00453260176516,0.992404999999962,2.35547539999996,0.322379
34,82,146720,-8.05037,-1.06261,3.758,193.71546,669.682,64477.87867,0,2,2,0,0,0,0,8,2,11,1,3,3,8,0,6,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.4753334,3.680237,0.139449,0.01274335962452,1.88648809999995,2.48583549999995,0.133962
