PubChem ID, E(LUMO/PM6) [eV],n  [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF)
21158682,-1.51728,3.249685,4.138,198.02919,81151.23814,3,0,0,11,0,6,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2.6241098,0.082857,0.00332597,0.197463
21158684,-1.50371,3.35351,4.541,184.2014,64411.81677,0,0,0,5,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.784763,0.102746,0.01394945,0.18963
21179175,-0.4853,2.996795,3.084,208.07063,-7730.67736,2,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2270805,0.162361,0.06416686,0.320551
21276161,-1.58897,3.449485,2.205,135.40424,26364.34234,2,0,0,8,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.5479382,0.098496,0.01993674,0.230723
21402,-0.71936,3.327905,1.779,214.57138,28533.75484,0,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3.436476,0.189834,0.02391304,0.158664
21407026,-1.59479,3.200105,0.704,238.56141,46979.43168,3,0,0,9,3,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2875643,0.131005,0.02786254,0.241196
21530174,-2.04572,3.41395,7.929,132.13932,28635.52627,3,0,0,12,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2.2354087,0.235033,0,0.359973
21537434,-1.76861,3.989405,6.756,167.8998,59579.38968,2,1,0,12,7,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3.0651437,0.00025,0,0.050484
21623218,-1.70167,3.349445,6.627,193.25151,28665.1902,2,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2.3984324,0.424364,0.04709837,0.453763
21651082,-1.53909,3.61248,2.386,180.46407,57055.97385,0,0,0,3,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0500073,6E-06,0,0.056695
