PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
69989671,-9.66569,-2.52583,7.13986,2.181,110.83105,334.824,11159.2005,2.6485487,6.9595673,0.155884,4,4,0,7,2,2,0,7,0,0,4,1,1,0,0,-1.653,0,-9.919,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.071
70026142,-8.08984,-1.60542,6.48442,3.161,197.05545,1019.7282,89251.737,2.8001548,5.4908027,0.455391,10,4,6,13,2,1,0,13,0,0,14,1,2,0,1,0.005,0.962,0.088,0,0,3,3,7,4,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0.144
70036914,-9.36201,-2.43304,6.92897,1.941,197.17134,7256.4429,826142.03503,2.4316957,4.7557407,0.013383,5,5,0,10,3,2,4,6,0,0.4,10,2,0,1,0,-1.035,0,-11.383,0,0,0,0,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.222
70098456,-10.02568,-2.39614,7.62954,6.693,137.75595,191.3941,14323.0089,3.0583216,5.8033508,0.138838,8,2,6,10,2,1,1,9,0,0.1,8,1,1,0,1,-1.197,0.844,-9.575,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0.183
70123457,-10.25543,-2.54822,7.70721,4.049,99.74631,63.7594,7270.35101,2.9870972,5.3514461,0.131776,7,1,6,7,2,1,0,7,0,0,6,1,1,0,0,-0.672,0.842,-4.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0.221
70144003,-8.33218,-1.27609,7.05609,3.929,140.44084,243.2865,11589.16312,0.7998432,3.3547481,0.012796,2,2,0,11,0,1,5,6,0,0.455,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.843
70148323,-9.36672,-2.05463,7.31209,5.449,181.06655,376.9605,7362.94885,2.8289352,6.5438096,0.091216,9,3,6,12,2,2,1,11,0,0.083,12,1,2,0,1,-0.443,0.871,-5.311,1,0,2,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,0,0.132
70196944,-8.01569,-0.87776,7.13793,2.121,164.55521,330.5727,38708.78172,3.2374743,7.8819628,0.141753,10,4,6,13,1,1,0,13,0,0,14,0,1,0,1,0.181,0.994,2.54,0,0,5,1,7,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0.086
70233593,-8.09566,-1.55122,6.54444,3.339,189.50205,1218.3891,70586.87199,2.7416687,5.7874568,0.40051,10,4,6,13,1,2,0,13,0,0,14,0,3,0,1,0.323,0.976,4.85,0,0,4,2,7,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0.238
70253387,-8.76323,-1.80137,6.96186,4.2,188.92239,222.7336,33346.34885,4.2503297,14.4993922,0.009747,12,0,12,13,4,1,1,12,0,0.077,6,1,2,0,2,0,0.893,-0.001,0,0,8,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,4,0,0,0,0,1,0,0.173
